National Assembly,Name of Candidate,Party Affiliation,Symbol Allocated,Number of Votes Polled,Number of Voters Polled ,Rejected Votes,Casted Men ,Casted Women ,Registered Males,Registered Females ,Total Voters Registered ,Turnout %
,Muhammad Imran Khan,IND,Parrot,"2,831",,,,,,,,
,Muhammad Hussain Amir,PMML,Chair,"1,844",,,,,,,,
,Zaman Naseeb,IND,Peacock,"1,666",,,,,,,,
,Muhammad Latif Khan,IND,Lotus,"1,510",,,,,,,,
,Azeem Yaseen,IND,Clock,"1,252",,,,,,,,
,Muhammad Atif,IND,Cricket Stumps,378,,,,,,,,
,Abrar ul Haq,IND,Guitar,225,,,,,,,,
,Farrukh Rafique,IND,Medal,192,,,,,,,,
,Syed Asghar Raza Naqvi,IND,Hukkah,177,,,,,,,,
,Mian Mahmood Ahmad,IND,Pomegranate,153,,,,,,,,
,Muhammad Tanveer,IND,Computer,146,,,,,,,,
,Akmal Khan,IND,Iron Stand,134,,,,,,,,
,Muhammad Rauf Mirza,IND,Black Board,120,,,,,,,,
,CH Muhammad Asghar,IND,Geyser,91,,,,,,,,
,Ch Jawad Khalid,IND,Tower,80,,,,,,,,
,Muhammad Hamza Shehbaz Sharif,PML-N,Tiger,"105,960",,,,,,,,
,Aliya Hamza Malik,IND-PTI,Dice,"100,803",,,,,,,,
,Abid Hussain,TLP,Crane,"36,269",,,,,,,,
,Muhammad Shoukat,JI,Scale,"4,124",,,,,,,,
,Muhammad Ijaz Malik,PMML,Chair,"2,984",,,,,,,,
,Shahid Abbas,PPPP,Arrow,"2,530",,,,,,,,
,Saba Dewaan,IND,,"1,431",,,,,,,,
,Tahir Naveed,IND,Bear,"1,309",,,,,,,,
,Muhammad Latif Khan,IND,Peacock,401,,,,,,,,
,Moqaddus Aleem Qureshi,IND,Hen,149,,,,,,,,
,Muhammad Afzal,JUIF,Book,143,,,,,,,,
,Faisal Raza,IND,Goat,136,,,,,,,,
,Rizwan Zia Khan,IND,Screw,98,,,,,,,,
,Muhammad Khan Madni,IND,Sheep,-,,,,,,,,
,Maryam Nawaz Sharif,PML-N,Tiger,"83,855",,,,,,,,
,Shehzad Farooq,IND-PTI,Tricycle,"68,376",,,,,,,,
,Muhammad Zaheer,TLP,Crane,"30,525",,,,,,,,
,Zulfiqar Ali,JI,Scale,"2,435",,,,,,,,
,Hafiz Abdur Rauf,PMML,Chair,"2,081",,,,,,,,
,Iftikhar Shahid,PPPP,Arrow,"2,056",,,,,,,,
,Muhammad Ahmad Mughal,IND,Aeroplane,"1,669",,,,,,,,
,Ch Ayyaz Imran,IND,Medal,"1,500",,,,,,,,
,Nadeem Altaf Khan Sherwani,IND,Cricket Stumps,"1,099",,,,,,,,
,Sanam Javed Khan,IND,,708,,,,,,,,
,Imran Aslam,IND,Wheel Chair,706,,,,,,,,
,Abdul Karim Khan,IND,Laptop,465,,,,,,,,
,Rizwan Ul Haq,IND,Spoon,437,,,,,,,,
,Rashid Ahmad Khan,JUIF,Book,398,,,,,,,,
,Ch Muhammad Ilyas,IND,Clock,208,,,,,,,,
,Muhammad Siddique Akbar,IND,Lotus,106,,,,,,,,
,Kiran Muhammad Ali,MQM-P,Kite,100,,,,,,,,
,Adnan Faisal,IND,Bowl,79,,,,,,,,
,Akmal Khan,IND,Tower,56,,,,,,,,
,Ahsan Ikram,IND,T-shirt,26,,,,,,,,
,Sardar Ayaz Sadiq,PML-N,Tiger,"68,143",,,,,,,,
,Usman Hamza,IND,Charpai,"49,222",,,,,,,,
,Rashid Ali,TLP,Crane,"24,160",,,,,,,,
,Munir Ahmad,PPPP,Arrow,"8,047",,,,,,,,
,Rasheed Ahmad,JI,Scale,"3,725",,,,,,,,
,Umar Farooq,PMML,Chair,"2,140",,,,,,,,
,Hafiz Muhammad Akram,IND,Racket,"1,192",,,,,,,,
,Shakeel Ahmed,IND,Kettle,635,,,,,,,,
,Ijaz Ahmed,IND,Aeroplane,367,,,,,,,,
,Sanam Javed Khan,IND,,329,,,,,,,,
,Qadeer Ahmed,IND,Peacock,214,,,,,,,,
,Zafar Ali Shah,IND,Door,182,,,,,,,,
,Humayun Shoukat Ali Butt,IND,Umbrella,172,,,,,,,,
,Javed Anwar Awan,IND,Medal,166,,,,,,,,
,Muhammad Rafiq,PTE 1,Hud Hud,162,,,,,,,,
,Hafiz Mansab Awan,IND,Clock,136,,,,,,,,
,Qadeer Hussain,PL,Apple,116,,,,,,,,
,Maqsood Ellahi,IND,Swallow,114,,,,,,,,
,Muhammad Ahmad Akmal,IND,Bottle,101,,,,,,,,
,Abdul Basit,IND,Mic,95,,,,,,,,
,Muhammad Umar,IND,Round Table,92,,,,,,,,
,Azhar Nawaz,IND,Bowl,76,,,,,,,,
,Muhammad Nawaz Awan,IND,Key With Lock,72,,,,,,,,
,Muhammad Athar Amin,IND,Bee,58,,,,,,,,
,Chaudhary Shafaqat Amin,IND,Hukkah,46,,,,,,,,
,Waseem Qadir,IND-PTI,Cricket Stumps,"78,703",,,,,,,,
,Sheikh Rohale Asghar,PML-N,Tiger,"70,597",,,,,,,,
,Muhammad Yousaf,TLP,Crane,"24,882",,,,,,,,
,Amir Siddiqui,JI,Scale,"3,424",,,,,,,,
,Iftikhar Shahid,PPPP,Arrow,"2,246",,,,,,,,
,Shouban Akhtar,PMML,Chair,"1,313",,,,,,,,
,Mian Awais Anjum,IND,Saxophone,"1,213",,,,,,,,
,Rizwan Zia Khan,IND,Bear,469,,,,,,,,
,Asghar Ali,IND,Sheep,383,,,,,,,,
,Imaran Ashraf,MQM-P,Kite,217,,,,,,,,
,Imran Aslam,IND,Wheel Chair,215,,,,,,,,
,Mahmood Ahmad,IND,Dove,165,,,,,,,,
,Muhammad Qasim,IND,Goat,155,,,,,,,,
,Asif Mehmood,IND,Green Chilli,96,,,,,,,,
,Salman Amjad,IND,Screw,-,,,,,,,,
,Sardar Muhammad Latif Khosa,IND-PTI,Alphabet K,"117,109",,,,,,,,
,Khuwaja Saad Rafique,PML-N,Tiger,"77,907",,,,,,,,
,Muhammad Imtiaz,TLP,Crane,"15,469",,,,,,,,
,Chaudhry Atif Rafique,IND,Dove,"4,735",,,,,,,,
,Zeba Basharat,JI,Scale,"4,687",,,,,,,,
,Muhammad Iqbal,IND,Racket,"2,602",,,,,,,,
,Hafiz Talha Saeed,PMML,Chair,"2,042",,,,,,,,
,Syed Shahid Zulfiqar Ali,IND,Cage,957,,,,,,,,
,Bahadur Khan,IND,Cricket Stumps,571,,,,,,,,
,Chaudhary Muhammad Umar Akbar,IND,Key With Lock,256,,,,,,,,
,Asim Mobeen,IND,Clock,239,,,,,,,,
,Rukhsana Naveed,IND,Bowl,145,,,,,,,,
,Tahir Bashir,IND,Cake,136,,,,,,,,
,Muhammad Jahanzaib,IND,Laptop,128,,,,,,,,
,Muhammad Tasadduq,JUP-N,Key,93,,,,,,,,
,Chaudhry Sajjad Ahmad,IND,Bottle,59,,,,,,,,
,Neelum Irshad Sheikh,IND,,58,,,,,,,,
,Habib Ullah,IND,Computer,48,,,,,,,,
,Rizwan Zia Khan,IND,Brick,42,,,,,,,,
,Muhammad Nadeem Bajwa,IND,Calculator,38,,,,,,,,
,Ejaz Hussain Minhas,IND,Bee,36,,,,,,,,
,Azhar Siddique,IND,Medal,-,,,,,,,,
,Mian Muhammad Shehbaz Sharif,PML-N,Tiger,"63,953",,,,,,,,
,Afzaal Azeem Pahat,IND-PTI,Radio,"48,486",,,,,,,,
,Amjad Naeem,TLP,Crane,"20,156",,,,,,,,
,Muhammad Saleem,IND,Peacock,"8,457",,,,,,,,
,Muhammad Zia Ul Haq,PPPP,Arrow,"5,698",,,,,,,,
,Liaqat Baloch,JI,Scale,"3,207",,,,,,,,
,Rashid Mehmood,PMML,Chair,"1,557",,,,,,,,
,Haider Ali,JUIF,Book,"1,389",,,,,,,,
,Abdul Samad Khan,IND,Cricket Stumps,809,,,,,,,,
,Muzammil Hussain,IND,Clock,664,,,,,,,,
,Atif Atta,PTE 1,Hud Hud,505,,,,,,,,
,Latif Ahmed Hussain,PAT1,Motor Cycle,391,,,,,,,,
,Muhammad Zahid Bashir,IND,Hukkah,217,,,,,,,,
,Tariq Shabbir,IND,Pressure Cooker,77,,,,,,,,
,Arshad Hussain,IND,Brush,76,,,,,,,,
,Tasneem Azeem Pahat,IND,Laptop,-,,,,,,,,
,Rana Mubashir Iqbal,PML-N,Tiger,"55,387",,,,,,,,
,Zameer Ahmad,IND-PTI,Dolphin,"43,594",,,,,,,,
,Irfan ALi Bhatti,TLP,Crane,"18,101",,,,,,,,
,Muhammad Javed,JI,Scale,"2,534",,,,,,,,
,Azeem Ullah Khan,IND,Clock,"1,546",,,,,,,,
,Muhammad Amin,PMML,Chair,"1,265",,,,,,,,
,Rizwan Zia Khan,IND,Radio,918,,,,,,,,
,Muhammad Nauman Faiz,IND,Peacock,456,,,,,,,,
,Muhammad Muzzamil,IND,Parrot,381,,,,,,,,
,Muhammad Sajjad Hassan,IND,Aeroplane,287,,,,,,,,
,Mujahid Mahmood,PAT1,Motor Cycle,249,,,,,,,,
,Muhammad Saeed Ahmad,IND,Computer,142,,,,,,,,
,Muhammad Nawaz Awan,IND,Medal,131,,,,,,,,
,Muhammad Afzal,PML-N,Tiger,"65,102",,,,,,,,
,Javaid Umar,IND-PTI,Laptop,"51,144",,,,,,,,
,Khuram Shahzad,TLP,Crane,"25,490",,,,,,,,
,Chaudhry Abdul Ghafoor Khan,PPPP,Arrow,"11,297",,,,,,,,
,Zabeeh Ullah balaggam,JI,Scale,"2,712",,,,,,,,
,Nizam Din,JUIF,Book,"1,916",,,,,,,,
,Rana Tariq Jamal,PMML,Chair,938,,,,,,,,
,Ahmad Ikhwan,PAT1,Motor Cycle,283,,,,,,,,
,Aqil Omar,IND,Racket,259,,,,,,,,
,Shabbir Ahmad,IND,Aeroplane,176,,,,,,,,
,Bilawal Ayub,IND,Letter Box,154,,,,,,,,
,Mubeen Akram,IND,Table,153,,,,,,,,
,Zahid Iqbal,IND,Peacock,120,,,,,,,,
,Sardar Kamil Umer,IND,Clock,107,,,,,,,,
,Awais Ahmad Bhatti,IND,Dove,92,,,,,,,,
,Saif Ul Malook,IND,Swallow,78,,,,,,,,
,Jamil Asghar Bhatti,IND,Dhol,-,,,,,,,,
,Abdul Rasheed Bhatti,IND,Hukkah,-,,,,,,,,
,Khalid Umar,IND,Computer,-,,,,,,,,
,Malik Saif Ul Malook Khokhar,PML-N,Tiger,"67,117",,,,,,,,
,Malik Touqeer Abbas Khokhar,IND-PTI,Bowl,"60,479",,,,,,,,
,Muhammad Ahmad Majeed,TLP,Crane,"10,123",,,,,,,,
,Ameer Ul Azim,JI,Scale,"7,421",,,,,,,,
,Amjad Ali,PPPP,Arrow,"3,068",,,,,,,,
,Imran Liaqat,PMML,Chair,619,,,,,,,,
,Malik Muhammad Zaman,IND,Sheep,550,,,,,,,,
,Malik Nadeem Abbas,IND,Dove,467,,,,,,,,
,Salman Raza Bara,IND,Racket,260,,,,,,,,
,Mian Muhammad Jamil,IND,Clock,235,,,,,,,,
,Muhammad Sarfraz Ali,IND,Orange,189,,,,,,,,
,Malik Khadim Hussain,IND,Peacock,131,,,,,,,,
,Malik Jahangir Hussain,IND,Lotus,130,,,,,,,,
,Bilawal Ayub,IND,Laptop,108,,,,,,,,
,Zafar Iqbal,IND,Hukkah,96,,,,,,,,
,Asim Malik,IND,Swallow,94,,,,,,,,
,Abdul Aziz Abid,IND,Screw Driver,79,,,,,,,,
,Malik Nisar Ahmad Khokhar,IND,Table,59,,,,,,,,
,Shahid Siddique Khan,IND,Saxophone,51,,,,,,,,
,Attaullah Tarar,PML-N,Tiger,"98,210",,,,,,,,
,Malak Zaheer Abbas,IND,Clock,"82,230",,,,,,,,
,Bilawal Bhutto Zardari,PPPP,Arrow,"15,005",,,,,,,,
,Matloob Ahmad,TLP,Crane,"12,912",,,,,,,,
,Syed Ashan Ullah Waqas,JI,Scale,"5,291",,,,,,,,
,Muhammad Muzamil,IND,Loud Speaker,604,,,,,,,,
,Asma Zaheer Abbas,IND,Dolphin,525,,,,,,,,
,Shabbir Ahmad,IND,Hukkah,413,,,,,,,,
,Ch Zahid Akram,PTI N,Batsman,323,,,,,,,,
,Rauf Tahmasib Kiani,IND,Peacock,262,,,,,,,,
,Sami Ullah,IND,Parrot,250,,,,,,,,
,Khalid Baig,IND,Aeroplane,158,,,,,,,,
,Muhammad Munsha,IND,Laptop,94,,,,,,,,
,Javed Sharif,PTE 1,Hud Hud,87,,,,,,,,
,Sulman Amjad,IND,Key Chain,66,,,,,,,,
,Muhammad Saleem Khan,IND,Fan,59,,,,,,,,
,Ch Zubair Ahmad,IND,Drum,49,,,,,,,,
,Khalid Ahmad,IND,Table,48,,,,,,,,
,Jamil Asghar Bhatti,IND,Computer,47,,,,,,,,
,Abdul Karim Rahi Gulzar,IND,Bed,42,,,,,,,,
,Abdul Sami Khan,IND,Radio,35,,,,,,,,
,Muhammad Asif Jutt,IND,Match Box,30,,,,,,,,
,Shahid Siddeeq Khan,IND,Printer,30,,,,,,,,
,Ch Muhammad Atif,IND,Dove,23,,,,,,,,
,Muhammad Saeed Ahmed,IND,Slate,21,,,,,,,,
,Muhammad Awn Saqlain,IPP,Eagle,"172,576",,,,,,,,
,Salman Akram Raja,IND-PTI,Racket,"159,024",,,,,,,,
,Asim Irshad Khan,TLP,Crane,"14,654",,,,,,,,
,Liaqat Baloch,JUIF,Book,"9,246",,,,,,,,
,Adeel Ghulam Mohy Ud Din,PPPP,Arrow,"4,373",,,,,,,,
,Muhammad Nauman Qaiser,IND,Bench,"3,816",,,,,,,,
,khurram Taseer,IND,Alphabet K,"2,493",,,,,,,,
,Muhammad Nawaz,IND,Aeroplane,"2,129",,,,,,,,
,Muhammad Shafiq,PMML,Chair,"1,864",,,,,,,,
,Shafqat Mehmood,IND,Medal,"1,047",,,,,,,,
,Zeeshan Akhtar,IND,Dove,806,,,,,,,,
,Rubina Shaheen,IND,Laptop,733,,,,,,,,
,Taimoor Tahir,PPP SB,Fist,656,,,,,,,,
,Attiq Ur Rehman,IND,Computer,435,,,,,,,,
,Majid Ikram Mian,IND,Clock,424,,,,,,,,
,Irfan Ali Shah,PML-KQK,Gun,310,,,,,,,,
,Chaudhry Abdul Rasheed Shahid,IND,Penguin,297,,,,,,,,
,Agha Muhammad Ali Khan,MQM-P,Kite,173,,,,,,,,
,Mian Muhammad Affan,IND,Table,144,,,,,,,,
,Muhammad Zahid,IND,Deep Freezer,129,,,,,,,,
,Naeem Ashraf,IND,Sofa,97,,,,,,,,
,Mian Muhammad Azhar,IND-PTI,Cricket Stumps,"103,718",,,,,,,,
,Muhammad Numan,PML-N,Tiger,"71,540",,,,,,,,
,Bilal Liaqat,TLP,Crane,"19,382",,,,,,,,
,Ahmad Jamil Rashid,JI,Scale,"4,194",,,,,,,,
,Aurangzeb Shaafi Burki,PPPP,Arrow,"3,005",,,,,,,,
,Muhammad Haris,PMML,Chair,"2,608",,,,,,,,
,Muhammad Irshad Dogar,IND,Aeroplane,"2,192",,,,,,,,
,Bajjash Khan Niazi,IND,Dove,"1,091",,,,,,,,
,Muhammad Faisal,IND,Sheep,534,,,,,,,,
,Muhammad Akram Dogar,IND,Peacock,447,,,,,,,,
,Shafqat Mehmood,IND,Charpai,255,,,,,,,,
,Muhammad Bilal,NPC,Combat Tank,229,,,,,,,,
,Abdul Waheed,IND,Computer,102,,,,,,,,
,Aziz ul Islam,PTE 1,Hud Hud,68,,,,,,,,
,Muhammad Arshid,IND,Hukkah,64,,,,,,,,
,Muhammad Farooq ul Hassan,IND,Water Turbine,55,,,,,,,,
,Muhammad Qasim,IND,Cow,35,,,,,,,,
,Tayyaba Mubarak,PDQM,Spider,31,,,,,,,,
,Talat Aslam,IND,Handbag,24,,,,,,,,
,Hafiz Adnan Munir,IND,Kettle,-,,,,,,,,
,Muhammad Nawaz Sharif,PML-N,Tiger,"179,310",,,,,,,,
,Muhammad Khurram Riaz,TLP,Crane,"20,080",,,,,,,,
,Yasmin Rashid,IND-PTI,Laptop,"10,485",,,,,,,,
,Sufi Khalique Ahmad Butt,JI,Scale,"3,624",,,,,,,,
,Iqbal Ahmad Khan,PPPP,Arrow,"2,604",,,,,,,,
,Khalid Masood Sandhu,PMML,Chair,"2,123",,,,,,,,
,Saleem Ullah,JUIF,Book,"1,453",,,,,,,,
,Muzzammil Qadir Butt,IND,Dove,449,,,,,,,,
,Muhammad Amir,IND,Peacock,383,,,,,,,,
,Ch Muhammad Asghar,IND,Teapot,359,,,,,,,,
,Muhammad Imtaiz Chaudhry,IND,Guitar,272,,,,,,,,
,Ali Shan,IND,Dolphin,123,,,,,,,,
,Samia Naz,MQM-P,Kite,102,,,,,,,,
,Hasnain Ahmad Shahzad,IND,Brush,84,,,,,,,,
,Habib Ur Rehman,IND,Water Tank,78,,,,,,,,
,Agha Usama Ahmad,IND,Drum,55,,,,,,,,
,Ishtiaq Ahmed Samsiyalvi,IND,,54,,,,,,,,
,Tariq Sana Bajwa,IND,Aeroplane,-,,,,,,,,
,Saad Waseem,PML-N,Tiger,"108,714",,,,,,,,
,Muhammad Maqsood Sabir Ansari,IND-PTI,Cricket Stumps,"77,966",,,,,,,,
,Chaudhry Manzoor Ahmad,PPPP,Arrow,"44,478",,,,,,,,
,Hafiz Muneeb Ahmad,TLP,Crane,"33,131",,,,,,,,
,Muhammad Yaqoob Nadeem Sethi,IND,Clock,"7,986",,,,,,,,
,Zubair Ahmad,JUIF,Book,"5,892",,,,,,,,
,Asad Ullah,JI,Scale,"4,108",,,,,,,,
,Abdul Hannan Sabir,IND,Bear,"3,716",,,,,,,,
,Muhammad Imran,PMML,Chair,"3,045",,,,,,,,
,Sarah Kasuri,IND,Papaya,"1,691",,,,,,,,
,Junaid Waseem,IND,Rabab,"1,032",,,,,,,,
,Shahid Masood,IND,Tooth Brush,585,,,,,,,,
,Waseem Akhtar Sheikh,IND,Fork,584,,,,,,,,
,Muhammad Saleem Mahar,IND,T Shirt,400,,,,,,,,
,Amjad Ali,IND,Wheel Chair,363,,,,,,,,
,Faaiz Mahmood,JUP-N,Key,143,,,,,,,,
,Bakhtiar Mahmud Kasuri,IND,Pineapple,123,,,,,,,,
,Azam Uddin Zahid,IND,Bowl(34),"130,696",,,,,,,,
,Rana Muhammad Ishaq Khan,PML-N,Tiger(284),"119,939",,,,,,,,
,Ghulam Murtaza,TLP,Crane(71),"21,977",,,,,,,,
,Muhammad Irshad Khan,PPPP,Arrow(12),"10,586",,,,,,,,
,Sardar Muhammad Ayyan Nakai,IND,Hukkah,"8,649",,,,,,,,
,Waqas Hasam Mokal,IND,Peacock,"6,581",,,,,,,,
,Muhammad Hashim Dogar,IPP,Eagle,"4,365",,,,,,,,
,Abdul Haleem,JUIF,Book(31),"3,214",,,,,,,,
,Rana Arshad Ali,IND,Bear,"3,049",,,,,,,,
,Muhammad Hussam Hashim,IND,Sheep,"2,717",,,,,,,,
,Malik Muhammad Naeem Haider,JIP,Scale,"1,144",,,,,,,,
,Mirza Jahanzaib Baig,IND,Pressure Cooker,"1,137",,,,,,,,
,Rana Liaqat Ali Khan,IND,Tandoor,"1,132",,,,,,,,
,Jahanzeb Hasan Mokal,IND,Swallow,717,,,,,,,,
,Rizwan Babar,IND,Match Box,476,,,,,,,,
,Rana Muhammad Saeed Akhtar,IND,Aeroplane,151,,,,,,,,
,Ijaz Ali Bhatti,IND,Goat,142,,,,,,,,
,Sarwat Robina,IND,Geyser,38,,,,,,,,
,Abdul Jabbar Ch,IND,Fridge,212,,,,,,,,
,Abdul Wahab,IND,Swallow,137,,,,,,,,
,Imran Ashfar,IND,Mic,382,,,,,,,,
,Qasim Ishaq,IND,Hen,130,,,,,,,,
,Muhammad Arshad Saqi,IND,Peacock,"1,227",,,,,,,,
,Muhammad Ramzan,JIP,Scale,"1,519",,,,,,,,
,Muhammad Sufyan Muavia,JUIF,Book(31),"3,442",,,,,,,,
,Muhammad Ali Babar,IND,Bottle,77,,,,,,,,
,Mudassir Zahoor,IND,Bowl(34),"3,211",,,,,,,,
,Syed Raza Abbas,PPPP,Arrow(12),"3,038",,,,,,,,
,Syed Hassan Raza Kazami,IND,Lotus,464,,,,,,,,
,Junaid Saleem,IND,Pomegranate,105,,,,,,,,
,Jahan Zaib Noor,IND,Duck,49,,,,,,,,
,Rana Khizar Hayat,IND,Hand Pump,381,,,,,,,,
,Rana Muhammad Hayat Khan,PML-N,Tiger,"141,841",,,,,,,,
,Rubina Ansari,IND,Clock,"4,276",,,,,,,,
,Sidra Faisal,IND,Tawa,"76,205",,,,,,,,
,Sardar Ahmad Ayaz Nakai,IND,Hukkah,"47,806",,,,,,,,
,Sardar Muhammad Ayyan Nakai,IND,Water Cooler,335,,,,,,,,
,Sardar Muhammad Atif Nakal,IND,Pressure Cooker,75,,,,,,,,
,Manzoor Elahi,TLP,Crane(71),"22,263",,,,,,,,
,Ayyaz Ul Kareem,IND,Radio,218,,,,,,,,
,Nadim Abbas,PML-N,Tiger,"129,218",,,,,,,,
,Malik Muhammad Akram Bhatti,IND-PTI,Charpai (56),"106,700",,,,,,,,
,Muhammad Arif Lashari,IND,Water Cooler,188,,,,,,,,
,Salman Akram,IND,Gas Cylinder,148,,,,,,,,
,Rai Ghulam Mujtaba Kharal,PPPP,Arrow(12),"11,717",,,,,,,,
,Farzand Naseem,TLP,Crane(71),"18,947",,,,,,,,
,Rai Ali Noor Kharal,IND,Hukkah,"20,049",,,,,,,,
,Rana Abdul Rehman,IND,Tower,205,,,,,,,,
,Hammad Hasan Lashari,JIP,Scale,"3,439",,,,,,,,
,Hassan Bukhari,IND,Clock,310,,,,,,,,
,Hafiz Sadaqat Ali,IND,Drill Machine,378,,,,,,,,
,Balqees Begum,PMML,Chair,"1,082",,,,,,,,
,Riaz Ul Haq,PML N,Tiger,"127,764",,,,,,,,
,Rao Hassan Sikandar,IND,Hukkah,"80,069",,,,,,,,
,Munawar Javaid,TLP,Crane,"11,976",,,,,,,,
,Masood Shafat,IND,Dhol,"9,427",,,,,,,,
,Abdul Sattar,IND,Tongs,"9,374",,,,,,,,
,Sajjad Ul Hassan,PPPP,Arrow,"8,694",,,,,,,,
,Babar Rashid,JI,Scale,"3,886",,,,,,,,
,Muhammad Saleem Sadiq,IND,Computer,"2,373",,,,,,,,
,Rao Abdul Khaliq Khan,IND,Water Cooler,"1,261",,,,,,,,
,Hafeez Ullah Khan,PMML,Chair,"1,058",,,,,,,,
,Khalil Ur Rehman,IND,Bucket,744,,,,,,,,
,Muhammad Arshad Iqbal,IND,Radio,289,,,,,,,,
,Chaudhary Muhammad Abdullah Tahir,IND,Cricket Stumps,246,,,,,,,,
,Ali Hassan,PAT1,Motor Cycle,216,,,,,,,,
,Zahid Hussain,IND,Door,139,,,,,,,,
,Azam Ali Habib,IND,Bowl,93,,,,,,,,
,Noor Ul Ain Rai,IND,Clock,69,,,,,,,,
,Zaeem Ud Din Abid,JHP,Spectacles,-,,,,,,,,
,Muhammad Ashraf Khan,IND,Peacock,-,,,,,,,,
,Syed Raza Ali Gillani,IND-PTI,Peacock,"131,925",,,,,,,,
,Rao Muhammad Ajmal Khan,PML N,Tiger,"105,381",,,,,,,,
,Rao Muhammad Safdar Khan,IND,Transformer,"4,253",,,,,,,,
,Rao Muhammad Azfar,IND,Table,"1,282",,,,,,,,
,Syed Tanseer Haider Kirmani,IND,Computer,861,,,,,,,,
,Syed Ali Hassnain Shah Naqvi,IND,Parrot,440,,,,,,,,
,Ahmad Raza Maneka,PML N,Tiger,"121,383",,,,,,,,
,Rao Omar Hashim Khan,IND-PTI,Bowl,"116,493",,,,,,,,
,Ghulam Mohyu Din,TLP,Crane,"26,108",,,,,,,,
,Ahmad Shah Khagga,IND,Hukkah,"24,524",,,,,,,,
,Mian Humayun Sarwar Bodia,PPPP,Arrow,"7,068",,,,,,,,
,Rao Usman Hashim Khan,IND,Sheep,"6,853",,,,,,,,
,Tariq Qayyum Shah,IND,Peacock,"4,142",,,,,,,,
,Faheem Ahmad,IND,Badge,"1,794",,,,,,,,
,Muhammad Iqbal,PMML,Chair,"1,779",,,,,,,,
,Mian Atta Muhammad Maneka,IND,Radio,"1,620",,,,,,,,
,Shaukat Ali Bhatti,JI,Scale,"1,297",,,,,,,,
,Shafiq Ahmad,IND,Cricket Stumps,744,,,,,,,,
,Rao Azmat Ullah,JUIPIN,Chitrali Cap,392,,,,,,,,
,Naseem Hashim Khan,IND,Transformer,336,,,,,,,,
,Mazhar Fareed Wattoo,IND,Study Table With Chair,331,,,,,,,,
,Rao Jamil Hashim Khan,IND,Racket,275,,,,,,,,
,Asghar Ali,IND,T Shirt,212,,,,,,,,
,Waqar Ahmad Khan,IND,Aeroplane,147,,,,,,,,
,Rana Iradat Sharif,PML N,Tiger,"139,322",,,,,,,,
,Raja Talla Saeed,IND-PTI,Cricket Stumps,"104,762",,,,,,,,
,Waseem Zafar,TLP,Crane,"27,001",,,,,,,,
,Junaid Mumtaz Joia,IND,Hukkah,"10,377",,,,,,,,
,Shaukat Ali Bajwa,PPPP,Arrow,"9,214",,,,,,,,
,Muhammad Shahbaz,IND,Aeroplane,"7,791",,,,,,,,
,Saif Ali Sukhera,IND,Bear,"7,435",,,,,,,,
,Saima Kashifa Tul Furdous,IND,Clock,"4,790",,,,,,,,
,Imran Ali,IND,Sheep,"4,225",,,,,,,,
,Abdul Razzaq Khalil,JI,Scale,"2,675",,,,,,,,
,Ahmad Zeeshan,PMML,Chair,"2,455",,,,,,,,
,Muhammad Naeem,IND,Spoon,648,,,,,,,,
,Chaudhary Muhammad Shahzad,IND,Bowl,508,,,,,,,,
,Saima Kashifa Tul Furdous,IND,Clock,"4,790",,,,,,,,
,Mian Manzoor Ahmad Khan Watto,IND,Peacock,"79,692",,,,,,,,
,Arshad Ali,IND-PTI,Bench,"48,190",,,,,,,,
,Muhammad Mushtaq Rehmani,TLP,Crane,"17,846",,,,,,,,
,Ahmed Hassan,PPPP,Arrow,"4,921",,,,,,,,
,Wasim Shoukat,PMML,Chair,"1,997",,,,,,,,
,Syed Ghulam Ali Shah,IND,Transformer,"1,555",,,,,,,,
,Akhtar Hussain,JI,Scale,838,,,,,,,,
,Fazal Abbas,IND,Hukkah,667,,,,,,,,
,Fakkar Hayat,IND,Computer,595,,,,,,,,
,Majid Hussain,IND,Parrot,565,,,,,,,,
,Muhammad Rafi,PAT1,Motor Cycle,514,,,,,,,,
,Abrar Hussain,PMLO,Stag,466,,,,,,,,
,Muhammad Hussain,IND,Khussa,462,,,,,,,,
,Sardar Ali Haider Khan,IND,Kettle,357,,,,,,,,
,Abdul Majeed Safdar,IND,Still Camera,295,,,,,,,,
,Jabed Ahmed,IND,Clock,236,,,,,,,,
,Chand Bibi,IND,Pineapple,171,,,,,,,,
,Syed Ali Abbas Gilani,IND,Pomegranate,156,,,,,,,,
,Tahir Masood Khan,IND,Magnifying Glass,70,,,,,,,,
,Ahmad Raza Maneka,PML N,Tiger,"121,383",,,,,,,,
,Rao Omar Hashim Khan,IND-PTI,Bowl,"116,493",,,,,,,,
,Ghulam Mohyu Din,TLP,Crane,"26,108",,,,,,,,
,Ahmad Shah Khagga,IND,Hukkah,"24,524",,,,,,,,
,Mian Humayun Sarwar Bodia,PPPP,Arrow,"7,068",,,,,,,,
,Rao Usman Hashim Khan,IND,Sheep,"6,853",,,,,,,,
,Tariq Qayyum Shah,IND,Peacock,"4,142",,,,,,,,
,Faheem Ahmad,IND,Badge,"1,794",,,,,,,,
,Muhammad Iqbal,PMML,Chair,"1,779",,,,,,,,
,Mian Atta Muhammad Maneka,IND,Radio,"1,620",,,,,,,,
,Shaukat Ali Bhatti,JI,Scale,"1,297",,,,,,,,
